Code,NCS,Occupation,Slug
BFSI08,2412.02,वित्तीय विश्लेषक,/hi/career/%e0%a4%b5%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%b5%e0%a4%bf%e0%a4%b6%e0%a5%8d%e0%a4%b2%e0%a5%87%e0%a4%b7%e0%a4%95/
BFSI09,NA,Insurance Agent,/career/insurance-agent/
BFSI09,NA,बीमा एजेंट,/hi/career/%e0%a4%ac%e0%a5%80%e0%a4%ae%e0%a4%be-%e0%a4%8f%e0%a4%9c%e0%a5%87%e0%a4%82%e0%a4%9f/
BFSI10,NA,Investment Banker,/career/investment-banker/
BFSI10,NA,निवेश बैंकर,/hi/career/%e0%a4%a8%e0%a4%bf%e0%a4%b5%e0%a5%87%e0%a4%b6-%e0%a4%ac%e0%a5%88%e0%a4%82%e0%a4%95%e0%a4%b0/
BFSI11,3311.01,Stock Broker,/career/stock-broker/
BFSI11,3311.01,स्टॉक ब्रोकर,/hi/career/%e0%a4%b8%e0%a5%8d%e0%a4%9f%e0%a5%89%e0%a4%95-%e0%a4%ac%e0%a5%8d%e0%a4%b0%e0%a5%8b%e0%a4%95%e0%a4%b0/
BFSI12,2411.02,Tax Auditor,/career/tax-auditor/
BFSI12,2411.02,टैक्स ऑडिटर,/hi/career/%e0%a4%9f%e0%a5%88%e0%a4%95%e0%a5%8d%e0%a4%b8-%e0%a4%91%e0%a4%a1%e0%a4%bf%e0%a4%9f%e0%a4%b0/
BFSI13,NA,Bank Probationary Officer,/career/bank-probationary-officer/
BFSI13,NA,बैंक प्रोबेशनरी ऑफिसर,/hi/career/%e0%a4%ac%e0%a5%88%e0%a4%82%e0%a4%95-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a5%8b%e0%a4%ac%e0%a5%87%e0%a4%b6%e0%a4%a8%e0%a4%b0%e0%a5%80-%e0%a4%91%e0%a4%ab%e0%a4%bf%e0%a4%b8%e0%a4%b0/
BFSI14,4311.02,Bank Clerk,/career/bank-clerk/
BFSI14,4311.02,बैंक क्लर्क,/hi/career/%e0%a4%ac%e0%a5%88%e0%a4%82%e0%a4%95-%e0%a4%95%e0%a5%8d%e0%a4%b2%e0%a4%b0%e0%a5%8d%e0%a4%95/
BFSI15,NA,Venture capitalist,/career/venture-capitalist/
BFSI15,NA,उद्यम पूँजीदाता (वेंचर कैपिटलिस्ट),/hi/career/%e0%a4%89%e0%a4%a6%e0%a5%8d%e0%a4%af%e0%a4%ae-%e0%a4%aa%e0%a5%82%e0%a4%81%e0%a4%9c%e0%a5%80%e0%a4%a6%e0%a4%be%e0%a4%a4%e0%a4%be-%e0%a4%b5%e0%a5%87%e0%a4%82%e0%a4%9a%e0%a4%b0-%e0%a4%95%e0%a5%88/
BFSI16,2412.04,Risk manager,/career/risk-manager/
BFSI16,2412.04,जोखिम प्रबंधक,/hi/career/%e0%a4%9c%e0%a5%8b%e0%a4%96%e0%a4%bf%e0%a4%ae-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%ac%e0%a4%82%e0%a4%a7%e0%a4%95/
BFSI17,2412.04,रिलेशनशिप मैनेजर,/hi/career/%e0%a4%b0%e0%a4%bf%e0%a4%b2%e0%a5%87%e0%a4%b6%e0%a4%a8%e0%a4%b6%e0%a4%bf%e0%a4%aa-%e0%a4%ae%e0%a5%88%e0%a4%a8%e0%a5%87%e0%a4%9c%e0%a4%b0/
BFSI18,1211.01,Bank Manager/Branch Manager,/career/bank-manager-branch-manager/
BFSI18,1211.01,बैंक प्रबंधक / शाखा प्रबंधक,/hi/career/%e0%a4%ac%e0%a5%88%e0%a4%82%e0%a4%95-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%ac%e0%a4%82%e0%a4%a7%e0%a4%95-%e0%a4%b6%e0%a4%be%e0%a4%96%e0%a4%be-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%ac%e0%a4%82%e0%a4%a7/
BFSI19,NA,Loan Officer,/career/loan-officer/
BFSI19,NA,ऋण अधिकारी,/hi/career/%e0%a4%8b%e0%a4%a3-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80/
BFSI20,NA,Compliance Officer,/career/compliance-officer/
BFSI20,NA,अनुपालन अधिकारी,/hi/career/%e0%a4%85%e0%a4%a8%e0%a5%81%e0%a4%aa%e0%a4%be%e0%a4%b2%e0%a4%a8-%e0%a4%85%e0%a4%a7%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%80/
